Tipo_Unidade;Unidade;Setor;Telefone_ramal;Email;Dirigente
Reitoria;Reitoria;Gabinete da Reitora (GRE)  ;3107 0254;unb@unb.br;Prof. Paulo Cesar Marques da Silva
Reitoria;Reitoria;Vice-Reitoria (VRT) ;3107 0228;agendavrt@unb.br;Prof. Enrique Huelva Unternbäumen
Reitoria;Reitoria;Auditoria Interna (AUD) ;3108;aud@unb.br;Prof. Abimael de Jesus Barros Costa
Reitoria;Reitoria;Ouvidoria (OUV) ;3108;ouvidoria@unb.br;Maria Ivoneide de Lima Brito
Reitoria;Reitoria;Procuradoria Federal junto à UnB  (PF/UnB) ;3108  1/39;pf.unb@unb.br;Tiago Coutinho de Oliveira
Reitoria;Reitoria;Subscretaria de Órgãos Colegiados (SOC) ;3107 68/69;soc@unb.br;Cecília Braz Arcanjo
Decanatos ;Decanato de Administração (DAF) ;Decanato de Administração (DAF) ;3108;daf@unb.br;Profª.Rozana Reigota Naves
Decanatos ;Decanato de Administração (DAF) ;Diretoria de Compras (DCO) ;3107 75/82;dco@unb.br;Ricardo Silva Rodrigues de Oliveira
Decanatos ;Decanato de Administração (DAF) ;Diretoria de Contabilidade e Finanças (DCF);3107 23/34;dcf@unb.br;Antônio Márcio Lopez Bezerra
Decanatos ;Decanato de Administração (DAF) ;Diretoria de Gestão de Materiais (DGM);3108;dgm@unb.br;Alexandre Peixoto Bezerra
Decanatos ;Decanato de Administração (DAF) ;Diretoria de Contratos Administrativos (DCA);3107 7086;dca@unb.br;Fernando José Barbato Couto
Decanatos ;Decanato de Administração (DAF) ;Diretoria de Importação e Exportação (DIMEX);3107 0635;dimex@unb.br;Vitor Malheiros Guimarães Cotia
Decanatos ;Decanato de Administração (DAF) ;Diretoria de Análise e Conformidade Processual (DAF/DACP);3107 0365;dacp@unb.br;Gabriela Pereira Cota
Decanatos ;Decanato de Assuntos Comunitários (DAC) ;Decanato de Assuntos Comunitários (DAC) ;3108;dac@unb.br;Prof. Ileno Izídio da Costa
Decanatos ;Decanato de Assuntos Comunitários (DAC) ;Diretoria da Diversidade (DIV) ;3107 2645;diversidade@unb.br;Susana Xavier
Decanatos ;Decanato de Assuntos Comunitários (DAC) ;Diretoria de Atenção à Saúde da Comunidade Universitária (DASU);3108;dasu@unb.br;Profª. Larissa Polejack Brambatti
Decanatos ;Decanato de Assuntos Comunitários (DAC) ;Diretoria de Desenvolvimento Social (DDS);3108;dds@unb.br/ssp@unb.br;Profª. Eloísa Pereira Barroso
Decanatos ;Decanato de Assuntos Comunitários (DAC) ;Diretoria de Esporte e Atividades Comunitárias (DEAC);3107 3706;deac@unb.br;Jonatas Maia Costa
Decanatos ;Decanato de Assuntos Comunitários (DAC) ;Diretoria do Restaurante Universitário (DRU);3108;falaru@unb.br;Cristiane Moreira da Costa
Decanatos ;Decanato de Assuntos Comunitários (DAC) ;Diretoria de Acessibilidade (DACES);3107 6323;daces@unb.br;Profª. Sinara Pollom Zardo
Decanatos ;Decanato de Ensino de Graduação (DEG);Decanato de Ensino de Graduação (DEG);3108;deg@unb.br;Prof. Diêgo Madureira de Oliveira
Decanatos ;Decanato de Ensino de Graduação (DEG);Diretoria de Acompanhamento e Integração Acadêmica (DAIA);3108;daia@unb.br;Prof. Rafael Oliveira Rocha
Decanatos ;Decanato de Ensino de Graduação (DEG);Diretoria de Inovação e Estratégias para o Ensino de ;3108;dieg_deg@unb.br;Profª. Symone Rodrigues Jardim
Decanatos ;Decanato de Ensino de Graduação (DEG);Graduação (DIEG);;;
Decanatos ;Decanato de Ensino de Graduação (DEG);Diretoria Técnica de Graduação (DTG);3108;dtgdeg@unb.br;Profª. Fernanda Passini Moreno
Decanatos ;Decanato de Ensino de Graduação (DEG);Diretoria de Planejamento e Acompanhamento Pedagógico das;3108;dapli@unb.br;Eloísa Nascimento Silva Pilati
Decanatos ;Decanato de Ensino de Graduação (DEG);Licenciaturas (DAPLI);;;
Decanatos ;Decanato de Extensão (DEX);Decanato de Extensão (DEX);3107 27/28;redex@unb.br;Prof. Alexandre Simões Pilati
Decanatos ;Decanato de Extensão (DEX);Diretoria de Difusão Cultural (DDC);3108;cal@unb.br;Profª Flavia Motoyama Narita
Decanatos ;Decanato de Extensão (DEX);Diretoria de Integração Social e Desenvolvimento Regional (DDIR);3108;ddirdex@unb.br;Prof. Rogério Ferreira
Decanatos ;Decanato de Extensão (DEX);Diretoria Técnica de Extensão (DTE);3107 0325;dtedex@gmail.com;Prof. Alexandre Simões Pilati
Decanatos ;Decanato de Gestão de Pessoas (DGP) ;Decanato de Gestão de Pessoas (DGP) ;3107 0529 ;dgp@unb.br /dgpgabinete@unb.br Maria do Socorro Mendes Gomes;
Decanatos ;Decanato de Gestão de Pessoas (DGP) ;Diretoria de Saúde, Segurança e Qualidade de Vida no ;2028 5516;dgpdsa@unb.br;Thiago Antônio de Mello
Decanatos ;Decanato de Gestão de Pessoas (DGP) ;Trabalho (DSQVT);;;
Decanatos ;Decanato de Gestão de Pessoas (DGP) ;Diretoria de Provimento, Acompanhamento e Movimentação;3127  1/6 ;dgpdpam@unb.br;Jeferson Sarmento Ferreira de Lima
Decanatos ;Decanato de Gestão de Pessoas (DGP) ;(DPAM);;;
Decanatos ;Decanato de Gestão de Pessoas (DGP) ;Diretoria de Capacitação, Desenvolvimento e Educação (DCADE);3107 0433;dgodcade@unb.br;Peterson Goes Silva
Decanatos ;Decanato de Gestão de Pessoas (DGP) ;Diretoria de Administração de Pessoas (DAP);3108;dgpdap@unb.br;Willian Aparecido Rodrigues Soares
Decanatos ;Decanato de Pesquisa e Inovação (DPI);Decanato de Pesquisa e Inovação (DPI);3107 4221;dpi@unb.br;Profª. Maria Emília Machado Telles Walter
Decanatos ;Decanato de Pesquisa e Inovação (DPI);Diretoria de Apoio a Projetos Acadêmicos (DPA);3107 4238;dpa@unb.br;Alice Cidade da Silva Ferraz
Decanatos ;Decanato de Pesquisa e Inovação (DPI);Diretoria de Pesquisa (DIRPE);3108;dpi_dirpe@unb.br;Profª. Cláudia Naves David Amorim
Decanatos ;Decanato de Pesquisa e Inovação (DPI);Centro de Apoio ao Desenvolvimento Tecnológico (CDT);3107 4100;cdt@unb.br;Profª. Marileusa Dosolina Chiarello
Decanatos ;Decanato de Planejamento, Orçamento e Avaliação Institucional (DPO);Decanato de Planejamento, Orçamento e Avaliação Institucional (DPO);3108;dpo@unb.br;Profa. Denise Imbroisi
Decanatos ;Decanato de Planejamento, Orçamento e Avaliação Institucional (DPO);Diretoria de Avaliação e Informações Gerenciais (DAI);3107 0213;dai@unb.br;Guilherme Viana Ferreira
Decanatos ;Decanato de Planejamento, Orçamento e Avaliação Institucional (DPO);Diretoria de Orçamento (DOR);3107 0348;dor@unb.br;Gláucia Lopes Luiz Evangelista
Decanatos ;Decanato de Planejamento, Orçamento e Avaliação Institucional (DPO);Diretoria de Planejamento (DPL);3107 0623;dpl@unb.br;Kátia Maria da Silva
Decanatos ;Decanato de Planejamento, Orçamento e Avaliação Institucional (DPO);Diretoria de Processos Organizacionais (DPR);3107 0626;dpr@unb.br;Luciana Couto Nepomuceno
Decanatos ;Decanato de Pós-Graduação (DPG);Decanato de Pós-Graduação (DPG);3108;dpg@unb.br;Prof. Lucio Remuzat Rennó Junior
Decanatos ;Decanato de Pós-Graduação (DPG);Diretoria de Fomento à Iniciação Científica (DIRIC);3108;pibic@unb.br;Prof. Sergio Ronaldo Granemann
Decanatos ;Decanato de Pós-Graduação (DPG);Diretoria de Pós-Graduação (DIRPG);3107 4278;dpg@unb.br;Profª. Diana Lucia Moura Pinho
Órgãos Auxiliares ;Chefia do Gabinete da Reitora (GRE);Chefia do Gabinete da Reitora (GRE); 3107 0248 ;pcmsilva@unb.br ;Prof. Paulo César Marques da Silva
Órgãos Auxiliares ;Prefeitura da UnB (PRC) ;Prefeitura da UnB (PRC) ;3107 3302; prefeitura@unb.br ;Valdeci da Silva Reis
Órgãos Auxiliares ;Secretaria de Infraestrutura (INFRA) ;Secretaria de Infraestrutura (INFRA) ;3108; infra@unb.br; Augusto César Oliveira Dias
Órgãos Auxiliares ;Secretaria de Meio Ambiente da Universidade de Brasília (SeMA);Secretaria de Meio Ambiente da Universidade de Brasília (SeMA); 3107 0557 ;sema@unb.br ;Prof. Pedro Henrique Zuchi da Conceição
Órgãos Auxiliares ;Secretaria do Patrimônio Imobiliário (SPI);Secretaria do Patrimônio Imobiliário (SPI);3108  1/35;spimov@unb.br;Viviane Alves Costa
